ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3450257,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,46,Pelham St (S),18
3450258,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,47,Melbourne Central-Elizabeth St (East),310
3450259,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,48,QVM-Queen St (East),81
3450260,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,49,QVM-Therry St (South),68
3450261,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,50,Faraday St-Lygon St (West),203
3450262,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,51,QVM-Franklin St (North),65
3450263,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,52,Elizabeth St-Lonsdale St (South),126
3450265,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,55,Elizabeth St-La Trobe St (East),611
3450266,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,56,Lonsdale St - Elizabeth St (North),111
3450267,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,57,Bourke St Bridge,45
3450268,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,58,Bourke St - Spencer St (North),234
3450269,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,59,Swanston St - RMIT Building 80,109
3450270,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,61,Swanston St - RMIT Building 14,139
3450271,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,62,La Trobe St (North),85
3450272,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,63,231 Bourke St,210
3450273,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,64,Royal Pde-Grattan St,20
3450274,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,65,Swanston St - City Square,271
3450275,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,66,State Library-New,420
3450276,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,67,Flinders Ln -Degraves St (South),82
3450277,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,68,Flinders Ln -Degraves St (North),1
3450278,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,69,Flinders Ln -Degraves St (Crossing),0
3450280,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,71,Westwood Place,5
3450281,12/10/2020 10:00:00 PM,2020,December,10,Thursday,22,73,Bourke St - Spencer St (South),72
3450282,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,4,Town Hall (West),227
3450283,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,17,Collins Place (South),71
3450284,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,18,Collins Place (North),43
3450285,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,53,Collins St (North),64
3450286,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,2,Bourke Street Mall (South),69
3450287,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,1,Bourke Street Mall (North),132
3450289,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,9,Southern Cross Station,21
3450290,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,10,Victoria Point,16
